p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.02928867751014e-71,0.402733142336633,0.999,0.993,1.41156649233741e-67,0,RPL19
1.88242937753887e-71,-2.40526636363674,0.355,0.673,2.5815636483568e-67,0,SAT1
1.85234933981911e-70,-2.00381129672079,0.985,0.991,2.54031188462793e-66,0,FTH1
6.11189146512055e-70,-1.15846597378363,0.656,0.874,8.38184795526632e-66,0,ARPC3
1.04232235957197e-69,0.531966525102187,0.991,0.985,1.42944088391699e-65,0,RPL10A
2.51000440627747e-68,-4.24356794496723,0.101,0.448,3.44222004276892e-64,0,FCER1G
3.59088522162605e-67,-2.36847377928993,0.279,0.613,4.92453999293797e-63,0,S100A11
7.00913024734827e-67,0.583512421548396,0.99,0.948,9.61232122121342e-63,0,RPSA
7.78352456403091e-65,-2.27988092229016,0.167,0.532,1.0674325587112e-60,0,ANXA2
2.60283775704101e-64,-2.32737633134963,0.974,0.995,3.56953170000605e-60,0,FTL
5.45014818051942e-63,0.444659821998271,0.996,0.985,7.47433321476434e-59,0,RPL14
1.47725194400665e-61,-3.57060509698919,0.102,0.435,2.02590331601072e-57,0,TYMP
4.20729158650937e-61,0.534315390537821,0.991,0.968,5.76987968173896e-57,0,RPS10
4.44987431431281e-61,0.513814006282486,0.99,0.975,6.10255763464859e-57,0,RPS5
1.43908990833012e-59,0.815326090312099,0.921,0.798,1.97356790028393e-55,0,NPM1
2.32039523177814e-59,0.41637825547982,1,0.989,3.18219002086055e-55,0,RPS15
2.66734413896858e-59,-4.59150403302137,0.17,0.478,3.65799575218151e-55,0,CST3
1.44667586190769e-58,-1.57046141796668,0.713,0.807,1.98397127702021e-54,0,S100A6
9.4916267479238e-58,0.557539859164788,0.99,0.948,1.30168169221027e-53,0,RPL36
1.12751149831959e-57,0.549277017765888,0.988,0.938,1.54626926879548e-53,0,RPLP0
3.57529594737633e-57,0.524928447309897,0.999,0.979,4.9031608622319e-53,0,RPL18
1.51142948438317e-56,-3.87285169355121,0.127,0.437,2.07277439488308e-52,0,LST1
1.71976398152157e-56,-1.01180318796358,0.763,0.884,2.35848432425867e-52,0,MYL6
5.48484731331895e-55,-2.3597274799699,0.227,0.541,7.52191960548561e-51,0,GSTP1
1.12240531491322e-54,1.04352902326393,0.731,0.4,1.53926664887199e-50,0,CD3E
7.21161047074159e-54,-0.781776508004291,0.915,0.956,9.89000259957501e-50,0,PFN1
1.64885540572848e-53,-3.89152617824973,0.042,0.344,2.26124030341604e-49,0,HLA-DMA
9.64917359249512e-53,-4.93070923903753,0.025,0.316,1.32328766647478e-48,0,HLA-DQB1
1.51494848038389e-52,-2.14706271467791,0.307,0.58,2.07760034599847e-48,0,PSAP
2.78832073496485e-52,-5.57530600093082,0.14,0.433,3.82390305593079e-48,0,S100A9
4.72196362456296e-52,0.543569945971778,0.994,0.956,6.47570091472564e-48,0,RPL4
1.35431856440599e-51,2.13652967588241,0.342,0.103,1.85731247922637e-47,0,LEF1
1.46126862312839e-51,-0.876759152289427,0.675,0.846,2.00398378975828e-47,0,ARPC2
5.73159152485482e-51,-2.31542410381642,0.338,0.588,7.8603046171859e-47,0,CTSS
7.52158958517483e-50,0.574818246994115,0.98,0.967,1.03151079571088e-45,0,RPL7
7.57873616428033e-50,0.732067868008857,0.911,0.777,1.03934787756941e-45,0,RPL22
7.81305693388028e-50,0.598640412856037,0.965,0.887,1.07148262791234e-45,0,RPL36A
2.19795252342647e-49,-1.02039283894551,0.794,0.871,3.01427209062706e-45,0,GAPDH
4.14409188200561e-49,-1.18022933788223,0.608,0.797,5.6832076069825e-45,0,ARPC1B
8.70215356239754e-49,0.584034431853515,0.947,0.867,1.1934133395472e-44,0,EEF1B2
